GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021800911,461,201935,James Harden,1610612745,Houston Rockets,3,3,19,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,112,232,1,1,20190227,CHA,HOU
Shot Chart Detail,0021800911,488,201935,James Harden,1610612745,Houston Rockets,3,1,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,18,1,1,20190227,CHA,HOU
Shot Chart Detail,0021800911,613,201935,James Harden,1610612745,Houston Rockets,4,3,43,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-93,11,1,1,20190227,CHA,HOU
Shot Chart Detail,0021800925,36,201935,James Harden,1610612745,Houston Rockets,1,8,58,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,8,65,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,58,201935,James Harden,1610612745,Houston Rockets,1,6,13,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-164,186,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,83,201935,James Harden,1610612745,Houston Rockets,1,4,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,30,300,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,260,201935,James Harden,1610612745,Houston Rockets,2,3,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,290,201935,James Harden,1610612745,Houston Rockets,2,2,12,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,196,175,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,312,201935,James Harden,1610612745,Houston Rockets,2,0,28,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,140,215,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,335,201935,James Harden,1610612745,Houston Rockets,3,10,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,345,201935,James Harden,1610612745,Houston Rockets,3,10,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,55,258,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,371,201935,James Harden,1610612745,Houston Rockets,3,7,21,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-190,164,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,403,201935,James Harden,1610612745,Houston Rockets,3,4,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,6,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,455,201935,James Harden,1610612745,Houston Rockets,3,0,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,137,226,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,500,201935,James Harden,1610612745,Houston Rockets,4,9,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,23,257,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,538,201935,James Harden,1610612745,Houston Rockets,4,6,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,8,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,541,201935,James Harden,1610612745,Houston Rockets,4,6,9,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,11,58,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,562,201935,James Harden,1610612745,Houston Rockets,4,4,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800925,585,201935,James Harden,1610612745,Houston Rockets,4,2,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,15,1,1,20190228,HOU,MIA
Shot Chart Detail,0021800945,13,201935,James Harden,1610612745,Houston Rockets,1,10,58,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,22,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,25,201935,James Harden,1610612745,Houston Rockets,1,9,29,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,15,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,47,201935,James Harden,1610612745,Houston Rockets,1,7,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-183,179,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,85,201935,James Harden,1610612745,Houston Rockets,1,4,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,19,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,98,201935,James Harden,1610612745,Houston Rockets,1,3,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,20,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,210,201935,James Harden,1610612745,Houston Rockets,2,6,37,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-147,229,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,247,201935,James Harden,1610612745,Houston Rockets,2,3,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,9,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,272,201935,James Harden,1610612745,Houston Rockets,2,1,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,16,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,329,201935,James Harden,1610612745,Houston Rockets,3,10,25,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,227,113,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,401,201935,James Harden,1610612745,Houston Rockets,3,5,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-129,251,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,450,201935,James Harden,1610612745,Houston Rockets,3,1,51,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,38,262,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,466,201935,James Harden,1610612745,Houston Rockets,3,1,2,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,46,60,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,594,201935,James Harden,1610612745,Houston Rockets,4,4,16,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-47,33,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800945,599,201935,James Harden,1610612745,Houston Rockets,4,3,24,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-109,239,1,1,20190303,BOS,HOU
Shot Chart Detail,0021800961,10,201935,James Harden,1610612745,Houston Rockets,1,11,11,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,6,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800961,79,201935,James Harden,1610612745,Houston Rockets,1,4,33,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,10,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800961,136,201935,James Harden,1610612745,Houston Rockets,1,0,29,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-174,171,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800961,277,201935,James Harden,1610612745,Houston Rockets,2,2,29,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,43,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800961,299,201935,James Harden,1610612745,Houston Rockets,2,0,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,8,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800961,370,201935,James Harden,1610612745,Houston Rockets,3,7,0,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-46,71,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800961,532,201935,James Harden,1610612745,Houston Rockets,4,7,8,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-93,254,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800961,542,201935,James Harden,1610612745,Houston Rockets,4,5,48,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,44,252,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800961,577,201935,James Harden,1610612745,Houston Rockets,4,2,54,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-32,49,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800961,582,201935,James Harden,1610612745,Houston Rockets,4,2,18,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-33,70,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800961,597,201935,James Harden,1610612745,Houston Rockets,4,0,59,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-2,105,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800961,608,201935,James Harden,1610612745,Houston Rockets,4,0,18,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,11,85,1,1,20190305,TOR,HOU
Shot Chart Detail,0021800981,16,201935,James Harden,1610612745,Houston Rockets,1,10,59,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-46,37,1,1,20190308,HOU,PHI
Shot Chart Detail,0021800981,44,201935,James Harden,1610612745,Houston Rockets,1,9,12,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,168,196,1,1,20190308,HOU,PHI
Shot Chart Detail,0021800981,90,201935,James Harden,1610612745,Houston Rockets,1,4,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,7,1,1,20190308,HOU,PHI
Shot Chart Detail,0021800981,146,201935,James Harden,1610612745,Houston Rockets,1,0,26,Made Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,41,1,1,20190308,HOU,PHI
Shot Chart Detail,0021800981,243,201935,James Harden,1610612745,Houston Rockets,2,5,42,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-54,21,1,1,20190308,HOU,PHI
Shot Chart Detail,0021800981,312,201935,James Harden,1610612745,Houston Rockets,2,0,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,10,1,1,20190308,HOU,PHI
Shot Chart Detail,0021800981,321,201935,James Harden,1610612745,Houston Rockets,3,11,35,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-52,84,1,1,20190308,HOU,PHI
Shot Chart Detail,0021800981,325,201935,James Harden,1610612745,Houston Rockets,3,11,14,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,17,78,1,1,20190308,HOU,PHI
Shot Chart Detail,0021800981,369,201935,James Harden,1610612745,Houston Rockets,3,6,57,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,196,157,1,1,20190308,HOU,PHI
Shot Chart Detail,0021800981,424,201935,James Harden,1610612745,Houston Rockets,3,1,56,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,8,1,1,20190308,HOU,PHI
Shot Chart Detail,0021800981,569,201935,James Harden,1610612745,Houston Rockets,4,4,49,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,17,1,1,20190308,HOU,PHI
Shot Chart Detail,0021800997,55,201935,James Harden,1610612745,Houston Rockets,1,7,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,13,1,1,20190310,DAL,HOU
Shot Chart Detail,0021800997,112,201935,James Harden,1610612745,Houston Rockets,1,2,53,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-6,1,1,20190310,DAL,HOU
Shot Chart Detail,0021800997,236,201935,James Harden,1610612745,Houston Rockets,2,7,17,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-35,105,1,1,20190310,DAL,HOU
Shot Chart Detail,0021800997,288,201935,James Harden,1610612745,Houston Rockets,2,3,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,172,208,1,1,20190310,DAL,HOU
Shot Chart Detail,0021800997,329,201935,James Harden,1610612745,Houston Rockets,2,0,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-42,251,1,1,20190310,DAL,HOU
Shot Chart Detail,0021800997,492,201935,James Harden,1610612745,Houston Rockets,3,2,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,0,1,1,20190310,DAL,HOU
Shot Chart Detail,0021800997,498,201935,James Harden,1610612745,Houston Rockets,3,1,40,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,89,233,1,1,20190310,DAL,HOU
Shot Chart Detail,0021801004,141,201935,James Harden,1610612745,Houston Rockets,1,2,17,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,239,0,1,1,20190311,HOU,CHA
Shot Chart Detail,0021801004,320,201935,James Harden,1610612745,Houston Rockets,2,0,32,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-22,55,1,1,20190311,HOU,CHA
Shot Chart Detail,0021801004,387,201935,James Harden,1610612745,Houston Rockets,3,6,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,3,1,1,20190311,HOU,CHA
Shot Chart Detail,0021801004,413,201935,James Harden,1610612745,Houston Rockets,3,5,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,177,210,1,1,20190311,HOU,CHA
Shot Chart Detail,0021801004,587,201935,James Harden,1610612745,Houston Rockets,4,4,20,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,237,58,1,1,20190311,HOU,CHA
Shot Chart Detail,0021801004,605,201935,James Harden,1610612745,Houston Rockets,4,2,41,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,16,69,1,1,20190311,HOU,CHA
Shot Chart Detail,0021801004,627,201935,James Harden,1610612745,Houston Rockets,4,1,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,6,1,1,20190311,HOU,CHA
Shot Chart Detail,0021801018,63,201935,James Harden,1610612745,Houston Rockets,1,5,31,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,8,1,1,20190313,HOU,GSW
Shot Chart Detail,0021801018,95,201935,James Harden,1610612745,Houston Rockets,1,3,23,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,16,1,1,20190313,HOU,GSW
Shot Chart Detail,0021801018,235,201935,James Harden,1610612745,Houston Rockets,2,5,27,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,95,244,1,1,20190313,HOU,GSW
Shot Chart Detail,0021801018,250,201935,James Harden,1610612745,Houston Rockets,2,4,32,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-33,29,1,1,20190313,HOU,GSW
Shot Chart Detail,0021801018,290,201935,James Harden,1610612745,Houston Rockets,2,0,32,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,209,190,1,1,20190313,HOU,GSW
Shot Chart Detail,0021801018,311,201935,James Harden,1610612745,Houston Rockets,3,11,37,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-9,141,1,1,20190313,HOU,GSW
Shot Chart Detail,0021801018,350,201935,James Harden,1610612745,Houston Rockets,3,7,56,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,19,1,1,20190313,HOU,GSW
Shot Chart Detail,0021801018,377,201935,James Harden,1610612745,Houston Rockets,3,5,45,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-13,30,1,1,20190313,HOU,GSW
Shot Chart Detail,0021801018,548,201935,James Harden,1610612745,Houston Rockets,4,5,17,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,15,1,1,20190313,HOU,GSW
Shot Chart Detail,0021801018,579,201935,James Harden,1610612745,Houston Rockets,4,1,16,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,11,177,1,1,20190313,HOU,GSW
Shot Chart Detail,0021801030,52,201935,James Harden,1610612745,Houston Rockets,1,8,42,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-61,254,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801030,129,201935,James Harden,1610612745,Houston Rockets,1,3,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801030,134,201935,James Harden,1610612745,Houston Rockets,1,2,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,1,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801030,320,201935,James Harden,1610612745,Houston Rockets,2,1,53,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,12,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801030,338,201935,James Harden,1610612745,Houston Rockets,2,0,29,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-5,42,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801030,393,201935,James Harden,1610612745,Houston Rockets,3,8,13,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,68,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801030,426,201935,James Harden,1610612745,Houston Rockets,3,5,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,11,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801030,428,201935,James Harden,1610612745,Houston Rockets,3,5,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801030,447,201935,James Harden,1610612745,Houston Rockets,3,3,58,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,44,256,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801030,578,201935,James Harden,1610612745,Houston Rockets,4,6,7,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-58,268,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801030,591,201935,James Harden,1610612745,Houston Rockets,4,4,57,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801030,634,201935,James Harden,1610612745,Houston Rockets,4,2,11,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,7,59,1,1,20190315,HOU,PHX
Shot Chart Detail,0021801048,42,201935,James Harden,1610612745,Houston Rockets,1,8,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-206,157,1,1,20190317,HOU,MIN
Shot Chart Detail,0021801048,120,201935,James Harden,1610612745,Houston Rockets,1,3,12,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,15,41,1,1,20190317,HOU,MIN
Shot Chart Detail,0021801048,128,201935,James Harden,1610612745,Houston Rockets,1,2,7,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-221,107,1,1,20190317,HOU,MIN
Shot Chart Detail,0021801048,255,201935,James Harden,1610612745,Houston Rockets,2,4,45,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,9,59,1,1,20190317,HOU,MIN
Shot Chart Detail,0021801048,265,201935,James Harden,1610612745,Houston Rockets,2,3,37,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-55,110,1,1,20190317,HOU,MIN
Shot Chart Detail,0021801048,348,201935,James Harden,1610612745,Houston Rockets,3,9,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,180,204,1,1,20190317,HOU,MIN
Shot Chart Detail,0021801048,417,201935,James Harden,1610612745,Houston Rockets,3,3,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-173,190,1,1,20190317,HOU,MIN
Shot Chart Detail,0021801048,421,201935,James Harden,1610612745,Houston Rockets,3,3,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,13,1,1,20190317,HOU,MIN
Shot Chart Detail,0021801060,127,201935,James Harden,1610612745,Houston Rockets,1,2,24,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,58,1,1,20190319,ATL,HOU
Shot Chart Detail,0021801060,227,201935,James Harden,1610612745,Houston Rockets,2,7,35,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-38,255,1,1,20190319,ATL,HOU
Shot Chart Detail,0021801060,260,201935,James Harden,1610612745,Houston Rockets,2,5,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,3,1,1,20190319,ATL,HOU
Shot Chart Detail,0021801060,296,201935,James Harden,1610612745,Houston Rockets,2,2,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,4,1,1,20190319,ATL,HOU
Shot Chart Detail,0021801060,400,201935,James Harden,1610612745,Houston Rockets,3,6,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,127,217,1,1,20190319,ATL,HOU
Shot Chart Detail,0021801060,413,201935,James Harden,1610612745,Houston Rockets,3,5,40,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-132,215,1,1,20190319,ATL,HOU
Shot Chart Detail,0021801060,434,201935,James Harden,1610612745,Houston Rockets,3,3,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,17,1,1,20190319,ATL,HOU
Shot Chart Detail,0021801060,578,201935,James Harden,1610612745,Houston Rockets,4,4,51,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-179,188,1,1,20190319,ATL,HOU
Shot Chart Detail,0021801070,28,201935,James Harden,1610612745,Houston Rockets,1,8,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,179,184,1,1,20190320,MEM,HOU
Shot Chart Detail,0021801070,33,201935,James Harden,1610612745,Houston Rockets,1,8,21,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,10,49,1,1,20190320,MEM,HOU
Shot Chart Detail,0021801070,73,201935,James Harden,1610612745,Houston Rockets,1,5,29,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-24,34,1,1,20190320,MEM,HOU
Shot Chart Detail,0021801070,83,201935,James Harden,1610612745,Houston Rockets,1,4,25,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-1,59,1,1,20190320,MEM,HOU
Shot Chart Detail,0021801070,220,201935,James Harden,1610612745,Houston Rockets,2,7,2,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,22,1,1,20190320,MEM,HOU
Shot Chart Detail,0021801070,237,201935,James Harden,1610612745,Houston Rockets,2,5,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,105,226,1,1,20190320,MEM,HOU
Shot Chart Detail,0021801070,255,201935,James Harden,1610612745,Houston Rockets,2,4,14,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,116,232,1,1,20190320,MEM,HOU
Shot Chart Detail,0021801070,272,201935,James Harden,1610612745,Houston Rockets,2,2,42,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-7,55,1,1,20190320,MEM,HOU
Shot Chart Detail,0021801070,414,201935,James Harden,1610612745,Houston Rockets,3,3,45,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-63,56,1,1,20190320,MEM,HOU
